% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 40.75    0.276777           3     82447           fcntl
 18.95    0.128709           4     36134           close
 17.67    0.119989           6     18495           getdents
 11.09    0.075316           4     18426           newfstatat
  6.35    0.043156           5      9489         4 openat
  4.85    0.032913           3      9485           fstat
  0.08    0.000556          12        46           brk
  0.08    0.000536           8        64           write
  0.05    0.000321          15        21           mmap
  0.05    0.000311          22        14           mprotect
  0.02    0.000156          16        10           read
  0.01    0.000098          11         9         9 access
  0.01    0.000084          84         1           munmap
  0.01    0.000056          28         2         2 statfs
  0.01    0.000037          19         2           ioctl
  0.00    0.000023          12         2           rt_sigaction
  0.00    0.000020          20         1           uname
  0.00    0.000018          18         1           fstatfs
  0.00    0.000016          16         1           futex
  0.00    0.000013          13         1           arch_prctl
  0.00    0.000013          13         1           set_tid_address
  0.00    0.000013          13         1           set_robust_list
  0.00    0.000010          10         1           sysinfo
  0.00    0.000009           9         1           rt_sigprocmask
  0.00    0.000009           9         1           prlimit64
  0.00    0.000005           5         1           fchdir
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.679164                174658        15 total
